"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Antigua and Barbuda","ATG","Land area (sq. km)","AG.LND.TOTL.K2","","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","","",
"Australia","AUS","Land area (sq. km)","AG.LND.TOTL.K2","","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7692020","7692020","7692020","","",
"Austria","AUT","Land area (sq. km)","AG.LND.TOTL.K2","","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82580","82577.998046875","82577.998046875","82577.998046875","82570.99609375","82560.99609375","82554.00390625","82530.99609375","82522.998046875","82522.998046875","82522.998046875","82522.998046875","82522.998046875","","",
"Azerbaijan","AZE","Land area (sq. km)","AG.LND.TOTL.K2","","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217.001953125","83217.001953125","83217.001953125","83217.001953125","83217.001953125","83217.001953125","83092.001953125","82705","82605","82604.00390625","82617.998046875","82652.001953125","82672.001953125","82660","82637.001953125","82629.00390625","82627.001953125","82622.001953125","82655.99609375","82657.998046875","82657.998046875","82659.00390625","82662.998046875","82662.998046875","82670","82670","82670","","",
"Burundi","BDI","Land area (sq. km)","AG.LND.TOTL.K2","","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","","",
"Belgium","BEL","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30280","30280","30280","30280","30280","30280","30280","30280","30280","30280","30280","30280","30280","30280","30280","30280","30280","30280","30280","","",
"Benin","BEN","Land area (sq. km)","AG.LND.TOTL.K2","","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","","",
"Burkina Faso","BFA","Land area (sq. km)","AG.LND.TOTL.K2","","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","","",
"Bangladesh","BGD","Land area (sq. km)","AG.LND.TOTL.K2","","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","","",
"Bulgaria","BGR","Land area (sq. km)","AG.LND.TOTL.K2","","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","108800","108770","108760","108640","108630","108610","108610","108560","108560","108560","108560","108560","108560","108560","108560","108560","108560","","",
"Bahrain","BHR","Land area (sq. km)","AG.LND.TOTL.K2","","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","710","710","710","710","710","710","710","710","710","710","710","720","730","740","740","750","760","760","761.999969482422","766.999969482422","770","770","770.999984741211","778.000030517578","778.000030517578","778.000030517578","778.000030517578","","",
"Bahamas, The","BHS","Land area (sq. km)","AG.LND.TOTL.K2","","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","","",
"Bosnia and Herzegovina","BIH","Land area (sq. km)","AG.LND.TOTL.K2","","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","","",
"Belarus","BLR","Land area (sq. km)","AG.LND.TOTL.K2","","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202830","202830","202810","202830","202900","202900","202900","202820","202900","202910","202910","202908.0078125","202973.0078125","202978.0078125","202988.0078125","202988.0078125","202988.0078125","","",
"Belize","BLZ","Land area (sq. km)","AG.LND.TOTL.K2","","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","","",
"Bermuda","BMU","Land area (sq. km)","AG.LND.TOTL.K2","","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","54.0000009536743","","",
"Bolivia","BOL","Land area (sq. km)","AG.LND.TOTL.K2","","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","","",
"Brazil","BRA","Land area (sq. km)","AG.LND.TOTL.K2","","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","","",
"Barbados","BRB","Land area (sq. km)","AG.LND.TOTL.K2","","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","","",
"Brunei Darussalam","BRN","Land area (sq. km)","AG.LND.TOTL.K2","","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","","",
"Bhutan","BTN","Land area (sq. km)","AG.LND.TOTL.K2","","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","46722.998046875","39800","39800","39800","39800","39800","39800","39800","39800","39800","39800","38116.9995117188","38116.9995117188","38116.9995117188","38116.9995117188","38116.9995117188","38116.9995117188","38116.9995117188","38116.9995117188","38116.9995117188","38116.9995117188","38116.9995117188","38116.9995117188","38143.9990234375","38143.9990234375","38143.9990234375","","",
"Botswana","BWA","Land area (sq. km)","AG.LND.TOTL.K2","","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","","",
"Central African Republic","CAF","Land area (sq. km)","AG.LND.TOTL.K2","","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","","",
"Canada","CAN","Land area (sq. km)","AG.LND.TOTL.K2","","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","","",
"Central Europe and the Baltics","CEB","Land area (sq. km)","AG.LND.TOTL.K2","","1105986","1105966","1105976","1105976","1105966","1105956","1105946","1105936","1105936","1105926","1105916","1105916","1105916","1105916","1105916","1105896","1105906","1105916","1105866","1105856","1105846","1105836","1105826","1105826","1105826","1105826","1105826","1105816","1104826","1104826","1104936","1104936.00097656","1104926.00097656","1104976.00097656","1104956.00097656","1105056.00097656","1105006.00097656","1104996.00097656","1105006.00097656","1104936.00097656","1104936.00097656","1103266.00097656","1103276.00097656","1103436.00097656","1103286.00097656","1103256.00097656","1103146.00097656","1103137.20092773","1104120.79956055","1104162.20092773","1104187.99682617","1103997.6965332","1105072.99804688","1105060","1105054.60205078","1105054.00146484","1105054.00146484","1105054.00146484","","",
"Switzerland","CHE","Land area (sq. km)","AG.LND.TOTL.K2","","39528.0004882813","39528.0004882813","39528.0004882813","39528.0004882813","39528.0004882813","39528.0004882813","39528.0004882813","39528.0004882813","39528.0004882813","39528.0004882813","39528.0004882813","39528.0004882813","39528.0004882813","39528.0004882813","39528.0004882813","39528.0004882813","39528.0004882813","39528.0004882813","39528.0004882813","39528.0004882813","39528.0004882813","39528.0004882813","39528.0004882813","39528.9990234375","39528.9990234375","39528.9990234375","39528.9990234375","39528.9990234375","39528.9990234375","39528.9990234375","39528.9990234375","39528.9990234375","39528.9990234375","39528.9990234375","39528.9990234375","39528.0004882813","39526.9995117188","39526.0009765625","39525","39523.9990234375","39523.0004882813","39521.9995117188","39521.0009765625","39520","39518.0004882813","39516.9995117188","39516.0009765625","39516.0009765625","39516.0009765625","39516.0009765625","39516.0009765625","39516.0009765625","39516.0009765625","39516.0009765625","39516.0009765625","39516.0009765625","39516.0009765625","39516.0009765625","","",
"Channel Islands","CHI","Land area (sq. km)","AG.LND.TOTL.K2","","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","197.999992370605","","",
"Chile","CHL","Land area (sq. km)","AG.LND.TOTL.K2","","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","743532.03125","","",
"China","CHN","Land area (sq. km)","AG.LND.TOTL.K2","","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388240","9388230","9388230","9388230","9388230","9388220","9388214.375","9388213.125","9388212.5","9388212.5","9388211.875","9388211.25","9388210.625","9388210.625","9388211.25","9388211.25","9388211.25","9388211.25","9388211.25","9388211.25","9388211.25","9388210","9388210","9388210","","",
"Cote d'Ivoire","CIV","Land area (sq. km)","AG.LND.TOTL.K2","","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","","",
"Cameroon","CMR","Land area (sq. km)","AG.LND.TOTL.K2","","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","","",
"Congo, Dem. Rep.","COD","Land area (sq. km)","AG.LND.TOTL.K2","","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","","",
"Congo, Rep.","COG","Land area (sq. km)","AG.LND.TOTL.K2","","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","","",
"Colombia","COL","Land area (sq. km)","AG.LND.TOTL.K2","","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","","",
"Comoros","COM","Land area (sq. km)","AG.LND.TOTL.K2","","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","1861.00006103516","","",
"Cabo Verde","CPV","Land area (sq. km)","AG.LND.TOTL.K2","","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","","",
"Costa Rica","CRI","Land area (sq. km)","AG.LND.TOTL.K2","","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","","",
"Caribbean small states","CSS","Land area (sq. km)","AG.LND.TOTL.K2","","404800","404800","404800","404800","404800","404800","404800","404800","404800","404800","404800","404800","404800","404800","404940","404940","404940","404940","404940","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","","",
"Cuba","CUB","Land area (sq. km)","AG.LND.TOTL.K2","","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","106390","106400","106410","106440","106430","106440","106440","106440","106440","106862.998046875","106449.00390625","104220","104020","104020","104020","104020","104020","","",
"Curacao","CUW","Land area (sq. km)","AG.LND.TOTL.K2","","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","","","",
"Cayman Islands","CYM","Land area (sq. km)","AG.LND.TOTL.K2","","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","","",
"Cyprus","CYP","Land area (sq. km)","AG.LND.TOTL.K2","","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","","",
"Czech Republic","CZE","Land area (sq. km)","AG.LND.TOTL.K2","","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77260","77260","77250","77250","77250","77250","77240","77240","77230","77220","77220","77210","77220","77220","77220","","",
